file,code_of_piece,year,notes_new,uniqid,EX,DP,PN,AA,SD,CH,CAIDO,VIVO,bark_present,bark_absent,BUTTRESS
CWD40_2018_fallen.txt,"16,12J.5.1",2018,con corteza,fallen117,,*,,,,,,,,,
CWD40_2018_fallen.txt,"36,13B.5.1",2018,TAB2AR. El mismo que A 5-1. CorrecciÃ³n estÃ¡ en B y no en C,fallen231,,*,,,,,,,,,
CWD40_2018_fallen.txt,"42,21I.3.1",2018,NA,fallen268,,*,,,,,,,,,
CWD40_2018_fallen.txt,"21,15P.2.1",2018,"perdio la corteza, no entra el clavo",fallen157,,*,,,,,,,,,
CWD40_2018_fallen.txt,"26,17D.7.1",2018,NA,fallen178,,*,,,,,,,,,
CWD40_2018_fallen.txt,"43,15B.5.1",2018,sin hojas. Revizar el aÃ±o pasado porque es TT TV MC,fallen273,,*,,,,,,,,,
CWD40_2018_fallen.txt,"45,05J.6.2",2018,estaba rajado anteriormente,fallen309,,,,*,,,,,,,
CWD40_2018_fallen.txt,"28,16N.7.1",2018,Se rajo y perdiÃ³ una parte,fallen201,,,,*,,,,,,,
CWD40_2018_fallen.txt,"06,06D.4.1",2018,S esta rajando,fallen048,,,,*,,,,,,,
CWD40_2018_fallen.txt,"19,16A.8.2",2018,esta rajado,fallen132,,,,*,,,,,,,
CWD40_2018_fallen.txt,"44,23A.9.1",2018,se rajo. Es el mismo que A 9-2,fallen284,,,,*,,,,,,,
CWD40_2018_fallen.txt,"14,14N.7.2",2018,terminalia amazonia. Se estÃ¡ rajando,fallen104,,,,*,,,,,,,
CWD40_2018_fallen.txt,"49,01A.9.3",2018,TTSN esta podrido el corazon. Es el mismo arbol que A 9-1,fallen329,,,,*,,*,,,,,
CWD40_2018_fallen.txt,"33,12G.2.1",2018,es el que estaba parado en F 9-1.Se esta rajando,fallen216,,,,*,,,,,,,
CWD40_2018_fallen.txt,"34,04E.7.1",2018,la muestra estÃ¡ rajada,fallen221,,,,*,,,,,,,
CWD40_2018_fallen.txt,"06,06I.5.1",2018,esta hueco y se esta abriendo,fallen050,,,,*,,*,,,,,
CWD40_2018_fallen.txt,"36,13L.6.1",2018,"el Ã¡rbol estÃ¡ en 36,13 en 4,4. EstÃ¡ hueco Ã± el centro",fallen233,,,,,,*,,,,,
CWD40_2018_fallen.txt,"01,24N.4.1",2018,"No se encontrÃ³ nada, totalmente descompuesto",fallen005,,*,,,,,,,,,
CWD40_2018_fallen.txt,"02,16O.9.1",2018,Se descompuso,fallen014,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,20E.5.1",2018,Solo se encontrÃ³ el clavo,fallen041,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,20E.7.1",2018,NA,fallen042,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,20P.7.1",2018,NA,fallen043,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,24B.7.1",2018,NA,fallen044,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,24G.4.1",2018,se esta apastando,fallen045,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,24G.5.1",2018,se estÃ¡ descomponiendo,fallen046,,*,,,,,,,,,
CWD40_2018_fallen.txt,"07,01F.5.1",2018,No encontrado,fallen056,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"08,06H.9.1",2018,se descompuso solo se encontrÃ³ clavo,fallen068,,*,,,,,,,,,
CWD40_2018_fallen.txt,"08,06J.6.1",2018,Nada,fallen069,,*,,,,,,,,,
CWD40_2018_fallen.txt,"14,14K.7.1",2018,"Terminalia amazonia. Es un Ã¡rbol grande con banda de metal, que estÃ¡ en el suelo pero vivo.  No encontrado probablemente se descompuso, estaba en area de pantano",fallen098,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"14,14K.7.2",2018,"Terminalia Amazonia. No se encontrÃ³, probablemente  se descompuso, estaba en Ã¡rea de pantano",fallen099,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"18,10L.3.1",2018,No se encontrÃ³. Se descompuso,fallen123,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"19,16P.7.4",2018,"no encontrada, esta en el camino del shortcut donde fue cortado despues de caido un arbol y lo restos estan sobre el area donde estaba la muestra",fallen143,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"26,17P.4.1",2018,"La muestra no se puede medir, le cayeron ramas vivas encima",fallen185,,,*,,,,,,,,
CWD40_2018_fallen.txt,"26,21A.4.1",2018,TAB2AR.Se partio,fallen188,,,*,,,,,,,,
CWD40_2018_fallen.txt,"28,16E.7.1",2018,nada,fallen195,,*,,,,,,,,,
CWD40_2018_fallen.txt,"34,04L.0.1",2018,No se pueden encontrar ni medir la muestra le cayo muchas ramas encima,fallen222,,,*,,,,,,,,
CWD40_2018_fallen.txt,"34,04L.6.1",2018,No se pueden encontrar ni medir la muestra le cayo muchas ramas encima,fallen223,,,*,,,,,,,,
CWD40_2018_fallen.txt,"34,04L.7.1",2018,No se pueden encontrar ni medir la muestra le cayo muchas ramas encima,fallen224,,,*,,,,,,,,
CWD40_2018_fallen.txt,"36,13M.6.2",2018,Sin corteza  no se puede medir porque la muestra M 6-3 le cayo encima,fallen235,,,*,,,,,,,,
CWD40_2018_fallen.txt,"36,13M.6.5",2018,Sin corteza  no se puede medir porque la muestra M 6-3 le cayo encima,fallen238,,,*,,,,,,,,
CWD40_2018_fallen.txt,"41,24N.4.1",2018,Solo se encontro el clavo,fallen260,,*,,,,,,,,,
CWD40_2018_fallen.txt,"44,13L.5.1",2018,No se encontrÃ³ la muestra,fallen282,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"44,13N.2.1",2018,No se encontro la muestra,fallen283,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"44,23N.7.1",2018,Solo se encontrÃ³ el clavo,fallen299,,*,,,,,,,,,
CWD40_2018_fallen.txt,"45,05J.5.1",2018,No se encontro,fallen307,*,*,,,,,,,,,
CWD40_2018_fallen.txt,"45,05L.4.1",2018,La muestra no se encontrÃ³ porque quedo debajo de la muestra L7-1,fallen310,,,*,,,,,,,,
CWD40_2018_fallen.txt,"46,07B.5.1",2018,Nada,fallen314,,*,,,,,,,,,
CWD40_2018_fallen.txt,"46,07L.3.1",2018,Nada,fallen315,,*,,,,,,,,,
CWD40_2018_fallen.txt,"46,07P.3.1",2018,Nada,fallen316,,*,,,,,,,,,
CWD40_2019_fallen.txt,"44,13D.6.3",2019,NA,fallen295,,*,,,,,,,,,
CWD40_2019_fallen.txt,"21,15B.3.1",2019,NA,fallen148,,*,,,,,,,,,
CWD40_2019_fallen.txt,"15,07N.9.1",2019,Solo residuos de la muestr,fallen110,,*,,,,,,,,,
CWD40_2019_fallen.txt,"39,07A.4.1",2019,Solo quedo un pedazo de corteza,fallen263,,*,,,,,,,,,
CWD40_2019_fallen.txt,"44,13D.6.1",2019,NA,fallen293,,*,,,,,,,,,
CWD40_2019_fallen.txt,"16,12B.6.1",2019,Solo residuos de la muestra,fallen111,,*,,,,,,,,,
CWD40_2019_fallen.txt,"42,21I.3.1",2019,NA,fallen283,,*,,,,,,,,,
CWD40_2019_fallen.txt,"26,21B.4.2",2019,2019,fallen199,,*,,,,,,,,,
CWD40_2019_fallen.txt,"37,17G.8.1",2019,NA,fallen260,,*,,,,,,,,,
CWD40_2019_fallen.txt,"28,16G.8.1",2019,NA,fallen208,,*,,,,,,,,,
CWD40_2019_fallen.txt,"18,23C.4.1",2019,Se estÃ¡ desintegrando,fallen118,,*,,,,,,,,,
CWD40_2019_fallen.txt,"19,16A.8.2",2019,"Se termino de rajar, el resto se perdio",fallen127,,*,,,,,,,,,
CWD40_2019_fallen.txt,"14,05P.3.1",2019,NA,fallen088,,*,,,,,,,,,
CWD40_2019_fallen.txt,"22,21N.0.1",2019,En el suelo,fallen160,,*,,,,,,,,,
CWD40_2019_fallen.txt,"26,17P.4.1",2019,2019,fallen195,,*,,,,,,,,,
CWD40_2019_fallen.txt,"44,23G.5.1",2019,NA,fallen308,,*,,,,,,,,,
CWD40_2019_fallen.txt,"09,12C.9.1",2019,NA,fallen065,,*,,,,,,,,,
CWD40_2019_fallen.txt,"45,05J.6.2",2019,se esta descomponiendo,fallen323,,*,,,,,,,,,
CWD40_2019_fallen.txt,"28,16G.7.1",2019,NA,fallen206,,*,,,,,,,,,
CWD40_2019_fallen.txt,"42,12M.9.1",2019,NA,fallen278,,*,,,,,,,,,
CWD40_2019_fallen.txt,"44,18O.19.1",2019,Es un ficus,fallen297,,*,,,,,,,,,
CWD40_2019_fallen.txt,"42,12A.9.1",2019,NA,fallen276,,*,,,,,,,,,
CWD40_2019_fallen.txt,"19,12C.3.2",2019,NA,fallen124,,*,,,,,,,,,
CWD40_2019_fallen.txt,"24,15D.2.1",2019,NA,fallen174,,*,,,,,,,,,
CWD40_2019_fallen.txt,"47,10J.4.1",2019,NA,fallen333,,*,,,,,,,,,
CWD40_2019_fallen.txt,"26,08J.7.2",2019,NA,fallen182,,*,,,,,,,,,
