month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
2	2	16,12	G	4-1	383	NA	NA	NA	0	NA	se descompuso	NA	*	NA	*	NA	NA	NA	*	2017	fallen119
2	2	16,12	J	5-1	261	212	70	NA	1	5670	con corteza	NA	NA	*	*	NA	NA	*	NA	2017	fallen120
2	2	16,12	J	7-1	NA	207	56	NA	0	5675	con corteza	NA	*	NA	NA	NA	*	*	NA	2017	fallen121
2	6	17.1	A	7-1	NA	205	30	NA	1	175131	NA	NA	NA	NA	*	*	NA	NA	*	2017	fallen122
2	6	17,01	I	7-1	NA	232	18	NA	1	180276	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen123
2	6	17,01	I	7-2	NA	256	30	NA	1	5907	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen124
2	3	18,10	L	3-1	290	255	NA	5	1	no tag	Sin corteza	NA	NA	*	NA	*	NA	NA	*	2017	fallen125
2	1	18,23	C	4-1	331	303	NA	10	1	NA	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen126
2	1	18,23	F	4-1	346	122	NA	NA	1	no tag	Corrección la muestra tiene corteza	NA	NA	*	*	NA	NA	*	NA	2017	fallen127
2	1	18,23	O	7-1	NA	288	25	6	1	no tag	Psecropia	NA	NA	*	*	NA	NA	*	NA	2017	fallen128
2	3	19,06	O	4-1	520	NA	NA	NA	1	No tag	Nada	NA	NA	*	NA	*	NA	NA	*	2017	fallen129
2	3	19,06	O	4-2	NA	NA	NA	NA	1	no tag	Nada	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen130
2	3	19,06	O	4-3	180	NA	NA	NA	1	No tag	Nada	NA	NA	*	NA	*	NA	NA	*	2017	fallen131
2	3	19,06	O	7-1	NA	672	NA	6	1	NA	Mismo tronco de O de pie	NA	NA	*	NA	*	NA	NA	*	2017	fallen132
2	3	19,08	C	7-1	NA	212	37	NA	1	5217	NA	NA	NA	*	NA	*	NA	*	NA	2017	fallen133
2	2	19,12	B	3-1	307	57	NA	NA	0	NA	la muestra solo queda un pedazo	NA	*	NA	*	NA	NA	NA	*	2017	fallen134
2	2	19,12	C	3-1	319	330	45	NA	1	no tag	no corteza	NA	NA	*	*	NA	NA	NA	*	2017	fallen135
2	2	19,12	C	3-2	238	211	53	NA	0	5331	Hyeral	NA	*	NA	NA	NA	*	*	NA	2017	fallen136
2	1	19,16	J	NA	293	183	NA	NA	1	NA	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen137
2	1	19,16	K	NA	NA	276	NA	10	1	NA	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen138
2	1	19,16	L	0-1	NA	NA	NA	NA	1	NA	Se descompuso	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen139
2	1	19,16	M	0-1	NA	NA	NA	NA	1	NA	Se descompuso	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen140
2	1	19,16	N	6-1	440	432	90	NA	0	5047	BROSAL. Revisar en el censo anterior y correguir que la muestra 19,19 N 6-1 es 19,16 N 6-1	NA	*	NA	NA	*	NA	*	NA	2017	fallen141
2	1	19,16	O	5-1	250	257	103	NA	1	5176	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen142
2	1	19,16	O	7-1	NA	362	34	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen143
2	1	19,16	O	7-2	NA	366	46	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen144
2	1	19,16	O	7-3	NA	349	42	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen145
2	1	19,16	P	7-1	NA	303	36	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen146
2	1	19,16	P	7-2	NA	547	71	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen147
2	1	19,16	P	7-3	NA	570	45	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen148
2	1	19,16	P	7-4	NA	438	90	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen149
2	1	19,19	C	9-1	567	592	82	NA	1	NA	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen150
2	1	19,19	G	2-1	370	342	26	NA	0	NA	es el mismo que C 9-1	*	NA	NA	*	NA	NA	NA	*	2017	fallen151
2	1	19,19	G	3-1	665	665	14	NA	1	5389	anteriormente no se midio porque estaba vivo, ahora esta muerto	NA	NA	*	*	NA	NA	NA	*	2017	fallen152
2	1	19,19	O	7-1	NA	368	35	NA	1	5054	NA	NA	NA	*	NA	*	NA	*	NA	2017	fallen153
2	7	21,04	E	9-1	224	213	37	NA	1	no tag	es el mismo que esta en F9-1	NA	NA	*	*	NA	NA	NA	*	2017	fallen154
2	7	21,04	F	9-1	260	270	101	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen155
2	7	21,04	H	4-1	356	NA	NA	NA	0	4984	No se puede medir porque está bajo muchas ramas pequeñas que cayeron sobre la muestra y no se pueden mover	NA	*	NA	NA	NA	*	*	NA	2017	fallen156
2	7	21,04	M	4-1	425	400	55	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen157
2	7	21,10	A	5-1	310	165	NA	NA	1	4691	se está descomponiendo, ahora se tuvo que usar el penetrometro en área con corteza	NA	NA	*	NA	*	NA	*	NA	2017	fallen158
2	13	21,15	B	3-1	257	245	40	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen159
2	13	21,15	D	0-2	201	195	NA	NA	0	NA	NA	*	NA	NA	*	NA	NA	NA	*	2017	fallen160
2	13	21,15	E	0-2	NA	63	NA	NA	1	no tag	NA	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen161
2	13	21,15	E	0-3	257	NA	NA	NA	1	no tag	Se descompuso	NA	NA	*	*	NA	NA	NA	*	2017	fallen162
2	13	21,15	H	6-1	321	310	115	NA	0	5047	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen163
2	13	21,15	N	7-1	NA	230	27	NA	1	157413	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen164
2	13	21,15	P	2-1	210	202	53	NA	1	no tag	perdio la corteza, no entra el clavo	NA	NA	*	*	NA	NA	NA	*	2017	fallen165
2	13	22,21	K	0-1	292	NA	NA	NA	0	no tag	se descompuso	NA	*	NA	*	NA	NA	NA	*	2017	fallen166
2	13	22,21	L	2-1	308	313	41	NA	0	NA	el mismo que L2-2, diferente rama	*	NA	NA	*	NA	NA	NA	*	2017	fallen167
2	13	22,21	L	2-2	227	208	28	NA	0	NA	el mismo que L2-1, diferente rama	*	NA	NA	*	NA	NA	NA	*	2017	fallen168
2	13	22,21	M	2-2	484	548	44	NA	1	4484	es el mismo que L2-2	NA	NA	*	*	NA	NA	NA	*	2017	fallen169
2	13	22,21	N	9-1	203	NA	NA	NA	1	NA	Se descompuso	NA	NA	*	*	NA	NA	NA	*	2017	fallen170
2	13	22,21	N	0-1	621	600	32	NA	1	no tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen171
2	7	23,03	E	4-1	243	195	NA	NA	0	4649	correcion no es RR es RT	*	NA	NA	NA	*	NA	NA	*	2017	fallen172
2	7	23,06	G	7-1	NA	312	20	NA	0	4673	NA	NA	*	NA	NA	*	NA	NA	*	2017	fallen173
2	7	23,06	G	7-2	NA	293	27	NA	0	4673	NA	NA	*	NA	NA	*	NA	*	NA	2017	fallen174
2	13	23,17	I	6-1	225	227	189	NA	1	no tag	NA	NA	NA	*	NA	*	NA	*	NA	2017	fallen175
2	13	23,23	A	2-1	298	281	32	NA	0	no tag	es el mismo que A2-2	NA	*	NA	*	NA	NA	NA	*	2017	fallen176
2	13	23,23	A	2-2	272	283	11	NA	0	no tago	es el mismo que A2-1	NA	*	NA	*	NA	NA	NA	*	2017	fallen177
2	7	24,09	F	3-1	312	138	NA	NA	1	NA	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen178
2	7	24,09	J	5-1	206	NA	NA	NA	0	146601	se descompuso. Solo se encontró el clavo	NA	*	NA	NA	*	NA	*	NA	2017	fallen179
2	7	24,09	J	5-2	238	241	104	NA	0	146601	corteza	NA	*	NA	NA	*	NA	*	NA	2017	fallen180
2	10	24,15	D	2-1	293	268	50	NA	1	NA	NA	NA	NA	*	*	NA	NA	*	NA	2017	fallen181
2	10	24,15	I	2-1	361	125	NA	NA	1	no tag	Solo queda corteza	NA	NA	*	*	NA	NA	NA	*	2017	fallen182
2	9	26,08	J	7-1	288	NA	52	NA	2	131516	rama de tronco caido con corteza	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen183
2	9	26,08	J	7-2	396	NA	51	NA	2	131516	Rama de tronco caido con corteza	NA	NA	NA	NA	NA	NA	NA	NA	2017	fallen184
2	10	26,17	B	2-1	227	78	NA	NA	1	no tag	se descompuso y la rompieron ramas que cayeron	NA	NA	*	*	NA	NA	NA	*	2017	fallen185
2	10	26,17	D	7-1	NA	212	52	NA	0	4169	NA	NA	*	NA	NA	NA	*	NA	*	2017	fallen186
2	10	26,17	G	6-1	206	NA	NA	NA	0	4165	NA	NA	*	NA	NA	*	NA	*	NA	2017	fallen187
2	10	26,17	K	2-1	535	523	39	NA	1	no tag	es el mismo N 2-1. Tiene bandas de metal y plástica. Se corrigió, tiene cascara	NA	NA	*	*	NA	NA	*	NA	2017	fallen188
2	10	26,17	N	2-1	541	531	27	NA	1	no tag	es el mismo K 2-1	NA	NA	*	*	NA	NA	NA	*	2017	fallen189
2	10	26,17	P	4-1	220	NA	NA	NA	0	4057	La muestra no se puede medir, le cayeron ramas vivas encima	NA	*	NA	NA	NA	*	*	NA	2017	fallen190
2	14	26,21	A	3-1	583	293	NA	9	0	NA	se rompio	*	NA	NA	*	NA	NA	NA	*	2017	fallen191
2	14	26,21	A	3-2	408	436	127	NA	1	NA	es TT	NA	NA	*	*	NA	NA	NA	*	2017	fallen192
2	14	26,21	A	4-1	406	142	NA	NA	0	NA	TAB2AR.Se partio	NA	*	NA	*	NA	NA	NA	NA	2017	fallen193
2	14	26,21	A	5-1	235	NA	NA	NA	1	4078	Se descompuso donde pasa el transecto	NA	*	NA	NA	NA	*	*	NA	2017	fallen194
2	14	26,21	B	4-1	230	136	NA	NA	0	NA	es el mismo que 26,21 A 3-2	*	NA	NA	*	NA	NA	NA	*	2017	fallen195
2	14	26,21	B	4-2	271	252	NA	5	0	NA	es el mismo que 26,21 A 3-2	*	NA	NA	*	NA	NA	NA	*	2017	fallen196
2	14	26,21	H	3-1	263	NA	NA	NA	0	no tag	Solo se encontró el clavo, la muestra se descompuso	NA	*	NA	*	NA	NA	NA	*	2017	fallen197
2	14	26,21	M	9,1	476	477	19	NA	1	NA	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen198
