month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	MC	MS	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
3	4	34,04	D	21-1	NA	343	13.5	1.3	2	90806	NA	NA	*	NA	2021	E	NA	335	standing153
3	4	34,04	E	21-1	377	NA	9.2	1.5	2	2921	NA	NA	*	NA	2021	E	NA	367	standing154
2	23	34,15	A	20-1	531	519	2.7	1.3	2	No tag	NA	Inclinado 16 grados	*	NA	2021	E	468	448	standing155
2	23	34,15	J	21-1	NA	296	20	1.3	1	633201	NA	NA	*	NA	2021	E	NA	279	standing156
3	5	34,15	K	20-1	212	203	8.4	1.3	1	87643	NA	inclinado 20 grados	*	NA	2021	E	NA	NA	standing157
3	5	35,17	A	21-1	NA	273	4.1	1.3	2	24.72	NA	NA	NA	*	2021	E	NA	266	standing158
3	5	35,17	D	21-1	NA	675	1.2	0.6	2	2692	NA	NA	*	NA	2021	E	NA	314	standing159
3	5	35,17	F	20-1	299	295	11	1.3	2	2689	NA	NA	*	NA	2021	E	246	235	standing160
3	10	36,04	H	21-1	NA	523	23.7	3.9	1	80756	NA	Escalera	*	NA	2021	E	NA	413	standing161
3	4	36,04	L	19-1	971	975	2.6	1.3	2	2274	Esta hueco. Se esta rajando	NA	*	NA	2021	E	502	526	standing162
3	4	36,10	P	20-1	351	NA	NA	1.3	2	76649	NA	Caido	*	NA	2021	E	267	NA	standing163
3	5	36,13	F	9-1	251	216	5.2	2.2	2	2506	12 grados inclinacion	20 grados inclinacion	NA	*	2021	E	201	187	standing164
3	5	36,13	G	8-1	409	389	4.9	1.3	2	82303	NA	NA	*	NA	2021	E	356	355	standing165
3	5	37,17	D	21-1	NA	248	6.5	1.3	2	77665	NA	Inclinacion 10 grados	*	NA	2021	E	NA	200	standing166
3	5	37,17	G	20-1	402	413	1.3	1	2	2363	NA	Se quebró a 1.30m	NA	*	2021	E	398	397	standing167
3	5	37,17	P	0-1	190	256	0.8	0.4	2	2143	NA	NA	NA	*	2021	E	NA	126	standing168
3	5	38,11	M	8-1	334	340	7.4	1.3	2	1990	NA	NA	NA	*	2021	E	305	297	standing169
3	5	39,07	A	19-1	335	379	1	0.5	2	1872	NA	Se quebro	NA	*	2021	E	307	370	standing170
3	5	39,07	I	7-1	941	NA	NA	3.3	0	66360	NA	Caido	*	NA	2021	E	820	NA	standing171
3	5	39,07	N	21-1	NA	316	21.2	1.3	1	61292	NA	NA	*	NA	2021	E	NA	299	standing172
3	5	39,15	C	21-1	NA	451	27.7	1.3	0	2006	NA	NA	*	NA	2021	E	NA	422	standing173
3	5	39,15	M	20-1	385	360	2.6	1.3	2	63163	NA	NA	*	NA	2021	E	318	349	standing174
3	9	40,21	C	6-1	198	196	2.8	1.3	2	56943	NA	NA	NA	*	2021	E	198	154	standing175
3	9	41,24	D	19-1	265	261	9.8	1.3	2	1744	NA	NA	*	NA	2021	E	230	232	standing176
3	8	42,12	C	3-1	254	258	9.2	1.3	2	no tag	NA	NA	NA	*	2021	E	182	179	standing177
3	8	42,12	N	9-2	222	213	0.9	0.45	2	no tag	NA	NA	NA	*	2021	E	124	117	standing178
3	8	43,10	G	21-1	NA	278	2.6	1.3	2	1251	NA	Esta en 42,10 en 41 tiene banda con escalera.	NA	*	2021	E	NA	149	standing179
3	9	43,15	F	20-1	648	177	0.79	0.4	2	no tag	Quararibea está en 42,15 41 o 42,14 en 44. Antes tenia dendrometro	se rajo y perdio una parte	NA	*	2021	E	197	79	standing180
3	9	43,15	H	0-2	NA	210	1.5	1.3	2	1284	Sigue vivo en la base	Esta muerto	NA	*	2021	R	NA	82	standing181
3	9	43,15	J	9-1	312	309	1.8	1.3	2	no tag	esta hueco	NA	NA	*	2021	R	279	252	standing182
3	8	44,07	B	5-1	734	682	2.6	1.6	2	870	rajado	NA	NA	*	2021	E	615	660	standing183
3	8	45,05	E	8-1	489	NA	NA	0.45	2	no tag	se quebro, solo quedo una parte	Solo clavo	NA	*	2021	E	345	NA	standing184
3	8	45,05	K	6-1	297	303	4.2	1.3	2	30985	NA	NA	*	NA	2021	E	274	273	standing185
3	9	46,21	F	8-1	750	NA	NA	2.9	2	687	NA	Caido	*	NA	2021	E	649	NA	standing186
3	9	46,21	G	8-1	NA	NA	NA	1.3	2	No tag	Caido	NA	NA	NA	2021	E	NA	NA	standing187
3	9	46,21	N	20-1	355	NA	NA	2	1	628	Caido	NA	*	NA	2021	E	NA	NA	standing188
3	9	46,21	N	20-2	313	274	1.6	1.3	2	626	NA	NA	*	NA	2021	E	NA	195	standing189
3	8	47,05	B	6-1	NA	NA	NA	0.61	2	510	No encontrado	Nada	NA	NA	2021	E	NA	NA	standing190
3	8	47,10	F	20-1	446	446	1.2	0.6	2	446310	esta en 46,09 en 34 tiene dendrometro	NA	NA	*	2021	E	392	393	standing191
3	8	47,10	G	6-1	438	540	1.4	1.3	2	550	esta rajado y hueco	Se está rajando	NA	*	2021	E	491	143	standing192
3	9	47,17	G	8-1	342	NA	NA	1.3	2	646456	NA	Caido	*	NA	2021	E	295	NA	standing193
3	8	49,01	O	3-1	278	NA	NA	0.3	2	849015	NA	Caido	NA	*	2021	E	250	NA	standing194
3	8	49,04	I	20-1	306	323	9	1.3	2	199	NA	NA	*	NA	2021	E	272	266	standing195
3	9	49,12	H	8-1	237	239	2.3	1.3	2	234	NA	NA	*	NA	2021	E	237	239	standing196
3	9	49,12	J	19.1	272	248	7.7	1.3	2	10738	NA	NA	*	NA	2021	E	245	246	standing197
3	9	49,21	F	21.1	NA	207	7.4	1.3	2	12294	NA	NA	*	NA	2021	E	NA	NA	standing198
3	9	49,24	B	19.1	393	439	1	0.5	2	129102	Ya el resto del tronco  está en el suelo	NA	NA	*	2021	E	470	479	standing199
