month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	branchfall	tag	inclination	orientation_degrees_prior	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
3	2	21,04	E	9-1	178	173	NA	138	1	no tag	3.5	265	270	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen146
3	2	21,04	M	4-1	323	315	365	302	1	no tag	1.5	10	10	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen147
3	3	21,08	D	21-1	NA	333	NA	NA	1	5003	6.8	NA	274	NA	*	NA	NA	NA	NA	*	NA	*	NA	NA	*	2021	fallen148
3	3	21,15	H	8-1	NA	NA	241	NA	0	5047	NA	130	NA	NA	*	NA	solo clavo	NA	*	NA	*	NA	NA	NA	*	2021	fallen149
3	3	21,15	N	7-1	273	203	204	NA	1	157413	8.3	300	300	NA	*	Está rajado segunda medida 273	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen150
3	3	21,15	G	20-1	NA	62	273	NA	1	5046	NA	220	NA	NA	*	Tronco vivo de pie	se descompuso, solo restos	NA	*	NA	NA	*	NA	NA	*	2021	fallen151
3	3	21,17	K	8-1	NA	142	315	NA	1	721404	0.4	180	180	NA	*	sin corteza	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen152
3	3	21,17	L	8-1	NA	NA	165	NA	1	No tag	NA	80	NA	NA	*	NA	Nada	NA	NA	NA	NA	NA	NA	NA	NA	2021	fallen153
3	3	21,17	O	20-1	415	351	365	355	1	157638	8	280	280	*	NA	en el aire con corteza	Parece que hay error en cross section width el año pasado	NA	NA	*	*	NA	NA	*	NA	2021	fallen154
3	3	22,19	I	21-1	NA	230	NA	232	0	No tag	6.4	NA	280	*	NA	NA	muestra de un cecropia	NA	*	NA	*	NA	NA	NA	*	2021	fallen155
3	3	22,19	J	20-1	324	316	353	345	1	4839	2.6	170	174	*	NA	324 en el aire con corteza	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen156
3	3	22,19	J	21-1	NA	462	NA	461	1	4846	1.7	NA	54	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen157
3	3	22,21	B	21-1	NA	524	NA	NA	1	422840	0.2	NA	230	NA	*	NA	NA	NA	NA	*	NA	NA	*	*	NA	2021	fallen158
3	3	22,21	D	20-1	483	439	434	NA	1	4839	1	180	178	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen159
