month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	uniqid
2	21	45,05	B	2-1	473	400	0.70	0.3	NA	1	2	14995	Sin corteza	2017	R	standing181
2	21	45,05	K	6-1	312	335	4.1	1.3	20	NA	2	30985	si ramas. Corteza	2017	R	standing182
2	22	46,07	NA	NA	NA	NA	NA	NA	NA	NA	NA	796	se cayo	2017	R	standing183
3	2	46,21	D	3-1	NA	NA	NA	1.3	NA	NA	NA	34183	nada	2017	R	standing184
2	21	47,05	B	6-1	618	395	1.1	0.61	69	NA	2	510	Con corteza. El tronco se rajo y perdió una parte	2017	R	standing185
2	22	47,10	G	6-1	506	505	3.1	1.3	73	NA	NA	550	Con corteza	2017	R	standing186
2	21	49,01	C	3-1	227	224	10.4	1.3	84	NA	2	45208	sin corteza	2017	R	standing187
2	21	49,01	C	9-1	1167	1204	4.3	1.8	6	NA	2	NA	esta hueco. Solo Es la parted exterior lonque queda. Sin corteza. Foto.	2017	R	standing188
2	21	49,01	E	3-1	449	457	5.0	1.3	79	NA	2	169	sin corteza	2017	R	standing189
2	21	49,01	J	9-1	216	205	1.7	0.55000000000000004	22	NA	2	no tag	sin corteza	2017	R	standing190
2	21	49,01	O	3-1	343	342	0.51	0.3	21	NA	2	849015	se quebro, el POM era de 1.3 ahora 0.3. Sin corteza	2017	R	standing191
2	21	49,01	O	5-1	237	NA	NA	0.6	NA	NA	NA	749041	Caido	2017	R	standing192
2	21	49,01	P	7-1	NA	332	17.0	1.3	39	NA	1	105	con corteza	2017	R	standing193
2	23	49,17	J	5-1	338	NA	NA	1.3	NA	NA	NA	no tag	caido	2017	R	standing194
